Code,Research agreement,District,Owner age range,Origin of the dog,Breed,Size_acc_owners,Weight (Kg),Body condition,Size_detailed,Size_cluster,Size_class,Age_years,Age_classification,Sex,Sterilized or castrated,Household,Other animals in household,Specify,Diet based on,Walking time,Other dogs in walks,Interactions with other animals,Lifestyle,Outdoors time unleashed,Time alone without human,Dog bathing,Dog habits,Dog vaccination,Veterinarian visits,Antiparasitic treatment,Chronic disease,Specify,Last 2 months: any health issues?,Specify,Last 2 months: any treatment?,Detail about the treatment,Specify,Last 2 months: any antibiotics?,Specify,Last 2 months: any surgery?,Specify,Time (h) passed,Household,Fur in feces?,Vegetation or stones?,Undigested food?,Color,Texture,Follow-up when sampling?
D001,Yes,Pudong New Area District,36-45,Rescued animal / Animal shelter,Mixed breed,Small,10,Lean or normal weight,III,III,medium,2.3,Mature_adult,Male,Yes,Garden flat,Yes,Dog,Commercialized dog-specific fresh food (cooked),about 30 minutes,No,Few times a year,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,Monthly,"Drinks water from puddles, ditches, or other drainage systems|Eats or licks feces or urine",Rabies|Canine parvovirus|Distemper|Canine hepatitis,Sporadically if some concern,Yes,No,(empty),"Gastrointestinal disorders (vomiting, diarrhea, constipation, etc.)",(empty),No,(empty),(empty),No,(empty),No,(empty),4,1,Yes,undet,maybe,undet,undet,Same - very recent questionnaire
D002,Yes,Pudong New Area District,36-45,Pet store,Yorkshire Terrier,Small,2.5,Obese,I,I,small,2.4,Mature_adult,Female,Yes,Garden flat,Yes,Dog,Wet food (canned food),about 30 minutes,Yes,Daily,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Almost always,7-10 hours,Monthly,Carries or gnaws sticks,Rabies|Canine parvovirus|Distemper|Canine coronavirus,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),4,1,Yes,undet,undet,greenish,undet,Same - very recent questionnaire
D003,Yes,Pudong New Area District,46-55,Animal breeder,Miniature schnauzer,Small,7,Lean or normal weight,II,II,small,2.1,Mature_adult,Female,Yes,Apartment,No,(empty),Dry food (kibble),About 1 hour,No,Weekly,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,3-6 hours,Weekly,None,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,2,Yes,undet,undet,blackish,undet,Same - very recent questionnaire
D004,Yes,Pudong New Area District,36-45,Stray animals on the roadside,Mixed breed,Small,2,Lean or normal weight,I,I,small,14.3,Geriatric,Female,Yes,Apartment,Yes,3 Cats and 2 dogs,Wet food (canned food),Less than 30 minutes,No,Never,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,Monthly,None,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,3,undet,undet,undet,undet,Very soft,Same - very recent questionnaire
D005,Yes,Pudong New Area District,46-55,Stray animals on the roadside,Mixed breed,Medium,20,Obese,III-overweight,III,medium,9.1,Early_senior,Female,Yes,Apartment,Yes,Cats and dogs,Dry food (kibble),About 1 hour,Yes,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,More than 10 hours,Monthly,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,3,undet,undet,maybe,undet,undet,Same - very recent questionnaire
D006,Yes,Pudong New Area District,46-55,Rescued animal / Animal shelter,Schnauzer,Small,10,Lean or normal weight,III,III,medium,15,Geriatric,Male,Yes,Apartment,Yes,"2 dogs, 3 cats",Dry food (kibble),About 1 hour,No,Few times a year,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,7-10 hours,Monthly,None,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,No,Yes,"epilepsy, tumors on liver",No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,3,undet,undet,undet,undet,undet,Afterwards questionnaire
D007,Yes,Pudong New Area District,36-45,Rescued animal / Animal shelter,Mixed breed,Small,5,Lean or normal weight,I,I,small,3,Mature_adult,Female,Yes,Garden flat,Yes,"Another Shiba inu, bougth from breeder",Dry food (kibble),About 1 hour,No,Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,0-2 hours,Monthly,Eats grass or other vegetation|Eats or licks feces or urine,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),12,4,undet,undet,undet,undet,Soft,Same - very recent questionnaire
D008,Yes,Pudong New Area District,36-45,Animal breeder,Shiba Inu,Medium,16,Overweight,II/III-overweight,II/III,medium,3.1,Mature_adult,Male,Yes,Garden flat,Yes,Dog,Dry food (kibble),About 1 hour,Yes,Monthly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,0-2 hours,Monthly,Eats grass or other vegetation,Rabies|Canine parvovirus|Distemper,Sporadically if some concern,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),12,4,undet,undet,undet,undet,Soft,Same - very recent questionnaire
D010,Yes,Pudong New Area District,26-35,Animal breeder,Shih Tzu,Small,9,Lean or normal weight,II,II,small,8,Early_senior,Male,Yes,House,No,(empty),Wet food (canned food),About 1 hour,No,Weekly,"Mostly indoors - mostly at home/closed space, but with some outdoors space (exterior balcony, or garden) during the day",Never or few times a year,0-2 hours,Monthly,"Drinks water from puddles, ditches, or other drainage systems|Eats or licks feces or urine",Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,6,undet,undet,undet,undet,undet,Same
D011,Yes,Pudong New Area District,26-35,Animal breeder,Labrador retriever,Medium,65,Lean or normal weight,VI-Lab-mixed,VI,large,7,Mature_adult,Female,Yes,Apartment,Yes,cats,Dry food (kibble),About 1 hour,No,Daily,"Indoors - mostly at home/closed space, no outdoor space (exterior/outdoor balcony, or garden)",Never or few times a year,3-6 hours,Never or few times a year,None,Rabies|Canine parvovirus|Distemper|Canine hepatitis,Once a year,Yes,No,(empty),No health disorders within the last 2 months,(empty),No,(empty),(empty),No,(empty),No,(empty),0,7,undet,undet,undet,light brown,Soft,Same - very recent questionnaire
